question,intent,sql_template,expected_viz,category
What do business travelers think about our hotel?,review_by_trip_type,"SELECT trip_type, AVG(rating) as avg_rating, COUNT(*) as count FROM reviews WHERE trip_type='Business' GROUP BY trip_type",metric,reviews
What is the predicted cancellation rate for next month?,predict_cancellation,,metric,prediction
Which bookings are at high risk of cancellation?,high_risk_bookings,,table,prediction
Predict the revenue for next quarter,predict_revenue,,metric,prediction
Which customers are likely to churn in the next 3 months?,predict_churn,,table,prediction
Give me an executive summary of last month,executive_summary,,text,summary
What are the key KPIs for this quarter?,quarterly_kpis,,dashboard,summary
How are we performing compared to last year?,yoy_comparison,,table,summary
What are the top 3 areas we need to improve?,improvement_areas,,text,summary
Show bookings by market segment,bookings_by_market,"SELECT market_segment, COUNT(*) as bookings FROM bookings GROUP BY market_segment ORDER BY bookings DESC",bar_chart,operations
What is the no-show rate?,no_show_rate,SELECT COUNT(CASE WHEN is_no_show=1 THEN 1 END)*100.0/COUNT(*) FROM bookings,metric,operations
Revenue per available room (RevPAR) trend,revpar_trend,"SELECT date, revpar FROM daily_metrics ORDER BY date DESC LIMIT 90",line_chart,revenue
Show me the distribution of room types booked,room_type_distribution,"SELECT room_type, COUNT(*) as count FROM transactions GROUP BY room_type ORDER BY count DESC",pie_chart,operations
What is our customer retention rate?,retention_rate,SELECT COUNT(DISTINCT CASE WHEN visit_count>1 THEN customer_id END)*100.0/COUNT(DISTINCT customer_id) FROM customer_stats,metric,customer
Average spend per guest by nationality,spend_by_nationality,"SELECT c.country, AVG(t.total_revenue) as avg_spend FROM customers c JOIN transactions t ON c.customer_id=t.customer_id GROUP BY c.country ORDER BY avg_spend DESC LIMIT 15",bar_chart,revenue
How does seasonality affect our bookings?,seasonality,"SELECT strftime('%m', arrival_date) as month, COUNT(*) as bookings FROM bookings GROUP BY month ORDER BY month",line_chart,operations
What is the most profitable room type?,profit_by_room,"SELECT room_type, SUM(total_revenue) as total, AVG(daily_rate) as avg_rate FROM transactions GROUP BY room_type ORDER BY total DESC",bar_chart,revenue
Show me cancellations by month of the year,cancellation_monthly,"SELECT strftime('%m', arrival_date) as month, COUNT(CASE WHEN is_canceled=1 THEN 1 END) as cancellations FROM bookings GROUP BY month ORDER BY month",bar_chart,cancellation
What is our best performing booking channel?,best_channel,"SELECT booking_channel, SUM(total_revenue) as revenue, COUNT(*) as bookings FROM transactions GROUP BY booking_channel ORDER BY revenue DESC",bar_chart,revenue
Guest satisfaction score by department,satisfaction_by_dept,"SELECT 'Cleanliness' as dept, AVG(aspect_cleanliness) as score FROM reviews UNION ALL SELECT 'Staff', AVG(aspect_staff) FROM reviews UNION ALL SELECT 'Food', AVG(aspect_food) FROM reviews UNION ALL SELECT 'Value', AVG(aspect_value) FROM reviews ORDER BY score DESC",bar_chart,reviews
How many bookings did we receive today?,daily_bookings,SELECT COUNT(*) FROM bookings WHERE booking_date = date('now'),metric,operations
Show the correlation between price and cancellation,price_cancellation_corr,"SELECT CASE WHEN adr<80 THEN 'Budget' WHEN adr<150 THEN 'Mid-range' ELSE 'Premium' END as price_tier, COUNT(CASE WHEN is_canceled=1 THEN 1 END)*100.0/COUNT(*) as cancel_rate FROM bookings GROUP BY price_tier",bar_chart,cancellation
What percentage of guests choose half board?,meal_plan_pct,"SELECT meal_plan, COUNT(*)*100.0/(SELECT COUNT(*) FROM transactions) as pct FROM transactions GROUP BY meal_plan ORDER BY pct DESC",pie_chart,operations
Show me the extra spend distribution,extra_spend,"SELECT CASE WHEN extra_spend<20 THEN 'Low' WHEN extra_spend<60 THEN 'Medium' ELSE 'High' END as tier, COUNT(*) as count FROM transactions GROUP BY tier",bar_chart,revenue
