item_id,dirty_name,standard_name,category,unit_price,source_system
ITM0050,wash + iron,Laundry Service (per item),Service,69.72,POS_Spa
ITM0051,SPRITE 330 ,Sprite 330ml,Beverage,33.35,POS_Bar
ITM0052,deep tissue 60,Deep Tissue Massage 60min,Spa,18.26,PMS
ITM0053, WATER 500,Still Water 500ml,Beverage,45.36,POS_Spa
ITM0054,pepsi 500,Pepsi 500ml,Beverage,136.79,POS_Bar
ITM0055,RED WINE,House Red Wine (Glass),Beverage,6.09,POS_Restaurant
ITM0056,dry cleaning,Dry Cleaning (per item),Service,45.32,PMS
ITM0057,RED WINE,House Red Wine (Glass),Beverage,103.67,Manual
ITM0058,grilled chicken,Grilled Chicken Breast,Food,111.41,POS_Bar
ITM0059,peps 500ml,Pepsi 500ml,Beverage,58.72,Manual
ITM0060, caffe latte,Latte,Beverage,11.02,POS_Spa
ITM0061,grld chicken,Grilled Chicken Breast,Food,78.92,POS_Spa
ITM0062,bolognese pasta,Spaghetti Bolognese,Food,30.79,POS_Bar
ITM0063,DRY CLEANING,Dry Cleaning (per item),Service,68.31,POS_Spa
ITM0064,SPRITE 330,Sprite 330ml,Beverage,53.57,POS_Bar
ITM0065,Beef Burger,Beef Burger,Food,111.31,Manual
ITM0066,margherita,Margherita Pizza,Food,19.95,POS_Restaurant
ITM0067,SPRITE 330,Sprite 330ml,Beverage,86.72,POS_Restaurant
ITM0068,Swedish 60min,Swedish Massage 60min,Spa,62.34,POS_Restaurant
ITM0069,Swedish 60min,Swedish Massage 60min,Spa,25.62,POS_Spa
ITM0070,BURGER,Beef Burger,Food,99.81,Manual
ITM0071,Parking 1 day,Underground Parking (per day),Service,14.85,POS_Bar
ITM0072, Srpite,Sprite 330ml,Beverage,107.95,PMS
ITM0073,Parking p/day,Underground Parking (per day),Service,95.51,POS_Restaurant
ITM0074,chocolate ck,Chocolate Cake,Food,97.78,POS_Bar
ITM0075,Spagetti Bolognese,Spaghetti Bolognese,Food,81.9,POS_Restaurant
ITM0076,fries,French Fries,Food,14.86,POS_Spa
ITM0077,chicken brst grilled,Grilled Chicken Breast,Food,16.16,PMS
ITM0078,FRIES,French Fries,Food,133.9,POS_Spa
ITM0079,PARKING,Underground Parking (per day),Service,35.82,PMS
ITM0080,fresh OJ,Fresh Orange Juice,Beverage,137.43,POS_Restaurant
ITM0081,1x espresso,Espresso,Beverage,149.94,POS_Spa
ITM0082,facial,Facial Treatment,Spa,45.3,POS_Restaurant
ITM0083,skin facial,Facial Treatment,Spa,66.68,POS_Bar
ITM0084,airprt transfer 1way,Airport Transfer One Way,Service,149.69,POS_Bar
ITM0085,House White,House White Wine (Glass),Beverage,99.73,PMS
ITM0086,deep tissue mass.,Deep Tissue Massage 60min,Spa,81.76,POS_Bar
ITM0087,LATTE,Latte,Beverage,83.48,POS_Restaurant
ITM0088,ESPRESSO,Espresso,Beverage,16.52,Manual
ITM0089,FACIAL,Facial Treatment,Spa,51.15,Manual
ITM0090, WATER 500,Still Water 500ml,Beverage,24.48,POS_Restaurant
ITM0091,deep tissue 60,Deep Tissue Massage 60min,Spa,86.91,PMS
ITM0092,Pepsii 500ml,Pepsi 500ml,Beverage,147.66,Manual
ITM0093,bier  500,Local Beer Draft 500ml,Beverage,124.37,POS_Bar
ITM0094,white wine,House White Wine (Glass),Beverage,85.4,POS_Restaurant
ITM0095,wine red,House Red Wine (Glass),Beverage,36.79,POS_Bar
ITM0096,CHOC  CAKE,Chocolate Cake,Food,29.42,POS_Bar
ITM0097,facial treatmnt,Facial Treatment,Spa,119.76,PMS
ITM0098,parking,Underground Parking (per day),Service,62.8,POS_Bar
ITM0099,spag bol,Spaghetti Bolognese,Food,65.94,POS_Bar
ITM0100,sprkl water,Sparkling Water 500ml,Beverage,147.99,POS_Restaurant
ITM0101,transfer to airport,Airport Transfer One Way,Service,116.41,POS_Restaurant
ITM0102,parking,Underground Parking (per day),Service,25.5,POS_Spa
ITM0103,grilled chicken,Grilled Chicken Breast,Food,128.62,POS_Restaurant
ITM0104,beer 500ml,Local Beer Draft 500ml,Beverage,139.7,Manual
ITM0105,laundry svc,Laundry Service (per item),Service,71.71,PMS
ITM0106,pommes frites,French Fries,Food,53.91,POS_Restaurant
ITM0107, Parking 1 day,Underground Parking (per day),Service,72.16,PMS
ITM0108,Club SW,Club Sandwich,Food,40.49,POS_Bar
ITM0109,RED WINE ,House Red Wine (Glass),Beverage,23.16,POS_Bar
ITM0110,Coka Cola,Coca-Cola 330ml,Beverage,40.31,POS_Restaurant
ITM0111,red wine glass,House Red Wine (Glass),Beverage,35.44,POS_Bar
ITM0112,DT massage 60min,Deep Tissue Massage 60min,Spa,48.29,PMS
ITM0113,car park 1d,Underground Parking (per day),Service,57.39,POS_Restaurant
ITM0114,frsh orange juice,Fresh Orange Juice,Beverage,130.82,PMS
ITM0115,cafe cappuccino,Cappuccino,Beverage,148.79,POS_Bar
ITM0116,OJ,Fresh Orange Juice,Beverage,11.37,Manual
ITM0117,deep tissue mass.,Deep Tissue Massage 60min,Spa,131.47,POS_Restaurant
ITM0118,Caeser Salad,Caesar Salad,Food,60.99,POS_Restaurant
ITM0119,coca-cola 330,Coca-Cola 330ml,Beverage,146.79,POS_Restaurant
ITM0120,SPAGHETTI BOL,Spaghetti Bolognese,Food,13.96,POS_Restaurant
ITM0121,Cafe Latte,Latte,Beverage,56.34,POS_Restaurant
ITM0122,PEPSI,Pepsi 500ml,Beverage,128.04,PMS
ITM0123,pepsi cola,Pepsi 500ml,Beverage,25.72,POS_Restaurant
ITM0124,french fries ,French Fries,Food,30.34,Manual
ITM0125,cafe cappuccino,Cappuccino,Beverage,49.12,POS_Restaurant
ITM0126,CAESAR SALAD,Caesar Salad,Food,57.47,POS_Restaurant
ITM0127,swedish massage,Swedish Massage 60min,Spa,90.01,PMS
ITM0128,coca cola,Coca-Cola 330ml,Beverage,141.9,PMS
ITM0129,spag bol,Spaghetti Bolognese,Food,42.0,PMS
ITM0130, CAESAR SALAD,Caesar Salad,Food,143.9,POS_Restaurant
ITM0131,deep tissue mass.,Deep Tissue Massage 60min,Spa,81.51,POS_Restaurant
ITM0132,sprkl water,Sparkling Water 500ml,Beverage,72.88,PMS
ITM0133,Pepsii 500ml,Pepsi 500ml,Beverage,51.92,POS_Bar
ITM0134,Coka Cola,Coca-Cola 330ml,Beverage,99.35,Manual
ITM0135,parking,Underground Parking (per day),Service,69.88,Manual
ITM0136,choco cake,Chocolate Cake,Food,147.84,POS_Restaurant
ITM0137,laundry,Laundry Service (per item),Service,79.27,PMS
ITM0138,choco cake,Chocolate Cake,Food,88.19,PMS
ITM0139,DRY CLEANING,Dry Cleaning (per item),Service,142.85,PMS
ITM0140, 1x espresso,Espresso,Beverage,146.34,POS_Restaurant
ITM0141,cesar salad,Caesar Salad,Food,121.47,PMS
ITM0142,Expresso,Espresso,Beverage,127.88,Manual
ITM0143,pepsi  cola,Pepsi 500ml,Beverage,131.55,PMS
ITM0144,beer 500ml,Local Beer Draft 500ml,Beverage,134.71,Manual
ITM0145,cheese burger,Beef Burger,Food,19.39,POS_Spa
ITM0146,dry cleaning 1pc,Dry Cleaning (per item),Service,94.92,PMS
ITM0147,chocolate ck,Chocolate Cake,Food,148.5,POS_Restaurant
ITM0148,BEER,Local Beer Draft 500ml,Beverage,6.34,PMS
ITM0149,WATER 500,Still Water 500ml,Beverage,125.62,POS_Restaurant
ITM0150,face treatment,Facial Treatment,Spa,26.71,POS_Restaurant
ITM0151,aqua 500,Still Water 500ml,Beverage,108.69,POS_Spa
ITM0152,glass of white wine,House White Wine (Glass),Beverage,54.07,POS_Restaurant
ITM0153,pommes frites,French Fries,Food,123.49,PMS
ITM0154,single espresso,Espresso,Beverage,81.6,POS_Restaurant
ITM0155,FACIAL,Facial Treatment,Spa,32.93,POS_Restaurant
ITM0156,FRIES,French Fries,Food,88.13,POS_Bar
ITM0157,Parking 1 day,Underground Parking (per day),Service,108.76,POS_Restaurant
ITM0158,cesar salad,Caesar Salad,Food,91.92,POS_Restaurant
ITM0159,prkg daily,Underground Parking (per day),Service,38.11,PMS
ITM0160,fries,French Fries,Food,138.95,POS_Spa
ITM0161,Sparkling 500ml,Sparkling Water 500ml,Beverage,52.4,PMS
ITM0162,orange juice,Fresh Orange Juice,Beverage,45.53,POS_Restaurant
ITM0163,ESPRESSO,Espresso,Beverage,135.07,POS_Spa
ITM0164,French Fries,French Fries,Food,131.48,Manual
ITM0165,CAESAR SALAD,Caesar Salad,Food,85.1,POS_Restaurant
ITM0166,dry cleaning,Dry Cleaning (per item),Service,142.18,POS_Restaurant
ITM0167,Diet Coke 330ml,Coca-Cola 330ml,Beverage,144.82,POS_Spa
ITM0168,Cappucino,Cappuccino,Beverage,137.62,POS_Restaurant
ITM0169,Cappucino,Cappuccino,Beverage,108.67,POS_Spa
ITM0170,CLUB SANDWICH,Club Sandwich,Food,79.57,POS_Restaurant
ITM0171,cafe latte,Latte,Beverage,10.88,POS_Spa
ITM0172,club sandwhich,Club Sandwich,Food,4.77,POS_Bar
ITM0173,ESPRESSO,Espresso,Beverage,19.92,POS_Spa
ITM0174,WATER 500,Still Water 500ml,Beverage,72.0,Manual
ITM0175,COCA-COLA,Coca-Cola 330ml,Beverage,114.31,PMS
ITM0176,chicken brst grilled,Grilled Chicken Breast,Food,46.68,PMS
ITM0177,mineral water,Still Water 500ml,Beverage,130.13,POS_Restaurant
ITM0178,House Red,House Red Wine (Glass),Beverage,91.57,PMS
ITM0179,caesar salad,Caesar Salad,Food,148.58,POS_Bar
ITM0180,dry cln,Dry Cleaning (per item),Service,112.4,POS_Spa
ITM0181,wash + iron,Laundry Service (per item),Service,83.94,PMS
ITM0182,LATTE,Latte,Beverage,63.2,PMS
ITM0183,Chicken Breast,Grilled Chicken Breast,Food,116.8,POS_Restaurant
ITM0184,caesar salad,Caesar Salad,Food,73.88,POS_Restaurant
ITM0185,pollo alla griglia,Grilled Chicken Breast,Food,63.09,PMS
ITM0186, Coke 330ml,Coca-Cola 330ml,Beverage,99.27,POS_Restaurant
ITM0187,spag bol,Spaghetti Bolognese,Food,139.39,Manual
ITM0188,spag bol,Spaghetti Bolognese,Food,61.07,PMS
ITM0189,SPAGHETTI BOL,Spaghetti Bolognese,Food,20.93,POS_Restaurant
ITM0190,glass of white wine,House White Wine (Glass),Beverage,144.79,POS_Restaurant
ITM0191,burger,Beef Burger,Food,113.04,POS_Restaurant
ITM0192,transfer to airport,Airport Transfer One Way,Service,27.89,POS_Restaurant
ITM0193,Cappucino,Cappuccino,Beverage,131.6,PMS
ITM0194,bolognese pasta,Spaghetti Bolognese,Food,112.09,PMS
ITM0195,1x espresso,Espresso,Beverage,68.98,POS_Spa
ITM0196,Chicken Breast,Grilled Chicken Breast,Food,37.99,POS_Restaurant
ITM0197,esprso,Espresso,Beverage,82.49,PMS
ITM0198,wine white,House White Wine (Glass),Beverage,145.88,PMS
ITM0199,face treatment,Facial Treatment,Spa,114.99,Manual
ITM0200,laundry per piece,Laundry Service (per item),Service,53.44,POS_Bar
ITM0201,SPRITE 330,Sprite 330ml,Beverage,59.31,PMS
ITM0202,Margherita Pzza,Margherita Pizza,Food,97.04,PMS
ITM0203,cap.,Cappuccino,Beverage,68.9,PMS
ITM0204,Swdsh Massage 1hr,Swedish Massage 60min,Spa,124.89,POS_Spa
ITM0205,sprkl water,Sparkling Water 500ml,Beverage,7.54,POS_Bar
ITM0206,Pepsii 500ml,Pepsi 500ml,Beverage,137.03,POS_Restaurant
ITM0207,face treatment,Facial Treatment,Spa,93.0,POS_Bar
ITM0208,wash + iron ,Laundry Service (per item),Service,7.67,PMS
ITM0209,SPARKLING,Sparkling Water 500ml,Beverage,15.97,POS_Restaurant
ITM0210,caesar sld ,Caesar Salad,Food,131.59,POS_Bar
ITM0211,capuccino,Cappuccino,Beverage,8.01,PMS
ITM0212,RED WINE,House Red Wine (Glass),Beverage,36.56,PMS
ITM0213,Schoko Kuchen,Chocolate Cake,Food,16.0,POS_Bar
ITM0214,car park 1d,Underground Parking (per day),Service,100.1,POS_Restaurant
ITM0215,cappucc.,Cappuccino,Beverage,44.11,POS_Spa
ITM0216,laundry svc,Laundry Service (per item),Service,61.38,POS_Bar
ITM0217,SPRITE 330 ,Sprite 330ml,Beverage,70.6,PMS
ITM0218,hse red wine,House Red Wine (Glass),Beverage,24.62,POS_Bar
ITM0219,SWEDISH MASSAGE,Swedish Massage 60min,Spa,134.92,POS_Bar
ITM0220,PEPSI,Pepsi 500ml,Beverage,88.84,POS_Restaurant
ITM0221,WHITE WINE,House White Wine (Glass),Beverage,40.18,PMS
ITM0222,facial,Facial Treatment,Spa,111.28,PMS
ITM0223,Ceasar Salad,Caesar Salad,Food,117.31,POS_Restaurant
ITM0224,DT massage 60min,Deep Tissue Massage 60min,Spa,36.94,POS_Bar
ITM0225, French Fries,French Fries,Food,75.5,Manual
ITM0226,CAESAR SALAD,Caesar Salad,Food,113.5,POS_Bar
ITM0227,local beer,Local Beer Draft 500ml,Beverage,128.39,POS_Restaurant
ITM0228,french fries,French Fries,Food,11.09,PMS
ITM0229,FRIES,French Fries,Food,27.88,POS_Restaurant
ITM0230,Caeser Salad,Caesar Salad,Food,33.63,PMS
ITM0231,facial,Facial Treatment,Spa,42.64,PMS
ITM0232,Margarita Pizza ,Margherita Pizza,Food,60.63,Manual
ITM0233,Coka Cola,Coca-Cola 330ml,Beverage,84.13,POS_Restaurant
ITM0234,cappucc.,Cappuccino,Beverage,14.9,POS_Spa
ITM0235,CLUB SANDWICH,Club Sandwich,Food,59.56,PMS
ITM0236,Laundry 1 item,Laundry Service (per item),Service,72.23,POS_Restaurant
ITM0237,club sandwhich,Club Sandwich,Food,8.51,PMS
ITM0238,sparkling water,Sparkling Water 500ml,Beverage,37.65,POS_Bar
ITM0239,cafe cappuccino,Cappuccino,Beverage,78.25,Manual
ITM0240,pepsi 500,Pepsi 500ml,Beverage,65.75,PMS
ITM0241,Srpite,Sprite 330ml,Beverage,50.59,POS_Restaurant
ITM0242,cappucc.,Cappuccino,Beverage,142.37,POS_Restaurant
ITM0243,Coka Cola,Coca-Cola 330ml,Beverage,135.24,POS_Restaurant
ITM0244,Orange J.,Fresh Orange Juice,Beverage,109.75,POS_Bar
ITM0245,pizza marg.,Margherita Pizza,Food,16.29,POS_Spa
ITM0246,club  sandwich,Club Sandwich,Food,82.46,PMS
ITM0247,Orange J.,Fresh Orange Juice,Beverage,103.93,POS_Restaurant
ITM0248,still water,Still Water 500ml,Beverage,127.58,PMS
ITM0249,deep tissue mass.,Deep Tissue Massage 60min,Spa,108.81,POS_Restaurant
ITM0250,laundry svc,Laundry Service (per item),Service,123.43,PMS
ITM0251,choco cake ,Chocolate Cake,Food,13.92,PMS
ITM0252,Diet Coke 330ml,Coca-Cola 330ml,Beverage,14.65,POS_Restaurant
ITM0253,lndry service,Laundry Service (per item),Service,39.82,POS_Bar
ITM0254,SPARKLING,Sparkling Water 500ml,Beverage,14.97,POS_Bar
ITM0255,Deep Tissue,Deep Tissue Massage 60min,Spa,144.13,POS_Restaurant
ITM0256,pepsi 500,Pepsi 500ml,Beverage,48.75,POS_Restaurant
ITM0257,frech fries,French Fries,Food,70.65,POS_Bar
ITM0258,H2O 500ml,Still Water 500ml,Beverage,99.67,Manual
ITM0259,coca-cola 330,Coca-Cola 330ml,Beverage,30.3,Manual
ITM0260,cheese burger,Beef Burger,Food,32.95,POS_Restaurant
ITM0261,BEER,Local Beer Draft 500ml,Beverage,10.14,POS_Bar
ITM0262,choc cake,Chocolate Cake,Food,106.17,POS_Restaurant
ITM0263,DRY CLEANING,Dry Cleaning (per item),Service,96.24,POS_Bar
ITM0264, FF,French Fries,Food,115.28,POS_Spa
ITM0265,swedish mass. 60 ,Swedish Massage 60min,Spa,29.22,POS_Spa
ITM0266,1x espresso,Espresso,Beverage,125.92,POS_Bar
ITM0267,skin facial ,Facial Treatment,Spa,38.52,POS_Spa
ITM0268,Coca Cola Can,Coca-Cola 330ml,Beverage,132.6,POS_Spa
ITM0269,dry cleaning,Dry Cleaning (per item),Service,75.35,POS_Bar
ITM0270,Srpite,Sprite 330ml,Beverage,88.56,PMS
ITM0271,draft beer,Local Beer Draft 500ml,Beverage,29.84,POS_Restaurant
ITM0272,Deep Tissue,Deep Tissue Massage 60min,Spa,17.43,POS_Bar
ITM0273,PARKING,Underground Parking (per day),Service,70.28,POS_Bar
ITM0274,facial,Facial Treatment,Spa,143.26,POS_Spa
ITM0275,caesar sld,Caesar Salad,Food,8.98,PMS
ITM0276,frech fries,French Fries,Food,142.74,POS_Restaurant
ITM0277,laundry,Laundry Service (per item),Service,81.85,Manual
ITM0278,ESPRESSO,Espresso,Beverage,117.01,POS_Restaurant
ITM0279,Margarita Pizza,Margherita Pizza,Food,99.29,POS_Bar
ITM0280, DRY CLEANING,Dry Cleaning (per item),Service,21.68,PMS
ITM0281,WHITE WINE ,House White Wine (Glass),Beverage,123.91,PMS
ITM0282,PEPSI,Pepsi 500ml,Beverage,63.67,PMS
ITM0283,Margherita Pzza,Margherita Pizza,Food,120.96,Manual
ITM0284,DRY  CLEANING,Dry Cleaning (per item),Service,78.27,Manual
ITM0285,Chocolate Cake,Chocolate Cake,Food,30.32,POS_Spa
ITM0286,SWEDISH MASSAGE,Swedish Massage 60min,Spa,118.68,POS_Restaurant
ITM0287,GRILLED CHICKEN,Grilled Chicken Breast,Food,18.85,Manual
ITM0288,chips,French Fries,Food,89.78,POS_Bar
ITM0289,CLUB SANDWICH ,Club Sandwich,Food,25.36,POS_Spa
ITM0290,Spagetti Bolognese,Spaghetti Bolognese,Food,2.34,POS_Restaurant
ITM0291,PEPSI,Pepsi 500ml,Beverage,102.02,POS_Restaurant
ITM0292,grld chicken,Grilled Chicken Breast,Food,148.66,PMS
ITM0293,transfer to airport,Airport Transfer One Way,Service,36.1,POS_Bar
ITM0294,Swdsh Massage 1hr,Swedish Massage 60min,Spa,143.55,Manual
ITM0295,WATER 500,Still Water 500ml,Beverage,106.2,POS_Restaurant
ITM0296,AIRPORT  TRANSFER,Airport Transfer One Way,Service,82.25,PMS
ITM0297,LATTE,Latte,Beverage,61.0,POS_Bar
ITM0298,pizza marg.,Margherita Pizza,Food,16.77,POS_Bar
ITM0299,massage swedish 60,Swedish Massage 60min,Spa,135.42,Manual
ITM0300,laundry per piece ,Laundry Service (per item),Service,53.72,PMS
ITM0301,chocolate ck,Chocolate Cake,Food,148.56,POS_Bar
ITM0302,Laundry 1 item,Laundry Service (per item),Service,106.52,POS_Restaurant
ITM0303,capuccino,Cappuccino,Beverage,69.01,POS_Bar
ITM0304,coca-cola 330,Coca-Cola 330ml,Beverage,95.68,POS_Bar
ITM0305,FACIAL,Facial Treatment,Spa,131.39,Manual
ITM0306,face treatment,Facial Treatment,Spa,55.95,POS_Spa
ITM0307,chemical cleaning,Dry Cleaning (per item),Service,61.36,PMS
ITM0308,wash + iron,Laundry Service (per item),Service,44.72,POS_Bar
ITM0309,sprite 33cl,Sprite 330ml,Beverage,12.34,PMS
ITM0310,draft beer,Local Beer Draft 500ml,Beverage,20.02,POS_Restaurant
ITM0311,Margarita  Pizza,Margherita Pizza,Food,77.8,Manual
ITM0312,swedish massage,Swedish Massage 60min,Spa,79.18,POS_Bar
ITM0313,hse white wine,House White Wine (Glass),Beverage,75.57,POS_Bar
ITM0314,swedish massage,Swedish Massage 60min,Spa,50.87,PMS
ITM0315,frsh orange juice,Fresh Orange Juice,Beverage,7.82,POS_Bar
ITM0316,Cafe Latte,Latte,Beverage,94.65,POS_Restaurant
ITM0317,Pepsi Cola 500,Pepsi 500ml,Beverage,74.94,POS_Restaurant
ITM0318,Swedish 60min,Swedish Massage 60min,Spa,7.44,POS_Spa
ITM0319,Diet Coke 330ml,Coca-Cola 330ml,Beverage,102.33,POS_Restaurant
ITM0320, laundry,Laundry Service (per item),Service,95.05,POS_Bar
ITM0321,glass  of  red  wine,House Red Wine (Glass),Beverage,25.45,POS_Bar
ITM0322,Diet Coke 330ml,Coca-Cola 330ml,Beverage,99.88,POS_Bar
ITM0323, Pizza Margherita,Margherita Pizza,Food,112.45,POS_Bar
ITM0324, massage swedish 60,Swedish Massage 60min,Spa,47.81,POS_Restaurant
ITM0325,fizzy  water  500,Sparkling Water 500ml,Beverage,118.21,PMS
ITM0326,white wine,House White Wine (Glass),Beverage,30.45,PMS
ITM0327,CAPPUCCINO,Cappuccino,Beverage,36.49,Manual
ITM0328,airprt transfer 1way,Airport Transfer One Way,Service,61.27,PMS
ITM0329,sprite,Sprite 330ml,Beverage,43.86,Manual
ITM0330,ORANGE JUICE,Fresh Orange Juice,Beverage,132.1,POS_Restaurant
ITM0331,aqua 500,Still Water 500ml,Beverage,119.02,POS_Restaurant
ITM0332,Diet Coke 330ml,Coca-Cola 330ml,Beverage,120.37,POS_Restaurant
ITM0333,House Red,House Red Wine (Glass),Beverage,124.77,PMS
ITM0334,cafe cappuccino,Cappuccino,Beverage,69.11,Manual
ITM0335,DT  massage  60min,Deep Tissue Massage 60min,Spa,54.6,Manual
ITM0336,airprt transfer 1way,Airport Transfer One Way,Service,44.73,POS_Restaurant
ITM0337,fries,French Fries,Food,146.2,POS_Restaurant
ITM0338,Spag. Bolognese,Spaghetti Bolognese,Food,13.92,Manual
ITM0339,choco cake,Chocolate Cake,Food,106.33,POS_Spa
ITM0340,underground parking,Underground Parking (per day),Service,36.42,PMS
ITM0341,Deep Tissue,Deep Tissue Massage 60min,Spa,40.97,POS_Bar
ITM0342,caesar salad,Caesar Salad,Food,55.98,POS_Spa
ITM0343,underground parking,Underground Parking (per day),Service,23.45,POS_Bar
ITM0344,caesar sld,Caesar Salad,Food,115.29,Manual
ITM0345,Ceasar Salad ,Caesar Salad,Food,142.33,POS_Spa
ITM0346,LATTE ,Latte,Beverage,65.77,POS_Spa
ITM0347,caesar sld,Caesar Salad,Food,19.83,POS_Restaurant
ITM0348,PARKING,Underground Parking (per day),Service,34.09,POS_Restaurant
ITM0349,club sandwich,Club Sandwich,Food,36.01,POS_Bar
ITM0350,House White,House White Wine (Glass),Beverage,87.31,POS_Spa
ITM0351,Spagetti Bolognese,Spaghetti Bolognese,Food,30.29,PMS
ITM0352,parking,Underground Parking (per day),Service,119.25,POS_Restaurant
ITM0353,WHITE WINE,House White Wine (Glass),Beverage,114.91,POS_Restaurant
ITM0354,Lattee,Latte,Beverage,27.27,Manual
ITM0355,Swedish  60min,Swedish Massage 60min,Spa,55.26,POS_Spa
ITM0356,Deep Tissue,Deep Tissue Massage 60min,Spa,34.46,POS_Bar
ITM0357,fresh OJ,Fresh Orange Juice,Beverage,60.86,POS_Spa
ITM0358,bolognese pasta,Spaghetti Bolognese,Food,126.61,PMS
ITM0359,Deep Tissue,Deep Tissue Massage 60min,Spa,73.87,POS_Bar
ITM0360,chocolate ck,Chocolate Cake,Food,83.2,POS_Restaurant
ITM0361,Evian 500ml,Still Water 500ml,Beverage,143.06,PMS
ITM0362,French Fries,French Fries,Food,33.06,POS_Bar
ITM0363,Pepsi 50cl,Pepsi 500ml,Beverage,95.79,POS_Restaurant
ITM0364,cappuccino,Cappuccino,Beverage,83.04,POS_Spa
ITM0365,deep tissue 60,Deep Tissue Massage 60min,Spa,97.34,POS_Bar
ITM0366,CC can,Coca-Cola 330ml,Beverage,93.96,POS_Spa
ITM0367, PEPSI,Pepsi 500ml,Beverage,148.72,POS_Bar
ITM0368,laundry,Laundry Service (per item),Service,85.1,PMS
ITM0369,chocolate ck,Chocolate Cake,Food,113.87,POS_Spa
ITM0370,LATTE ,Latte,Beverage,63.12,POS_Spa
ITM0371,SPRITE 330,Sprite 330ml,Beverage,31.14,POS_Restaurant
ITM0372,Club SW,Club Sandwich,Food,42.75,POS_Restaurant
ITM0373,Orange J.,Fresh Orange Juice,Beverage,72.19,POS_Restaurant
ITM0374,local beer,Local Beer Draft 500ml,Beverage,112.21,POS_Restaurant
ITM0375,PEPSI,Pepsi 500ml,Beverage,119.61,POS_Bar
