invoice_id,date,description,amount,currency,room_number,category_true
INV00246,2024-02-23,Valet parking - 3 nights,47.68,EUR,312,Transportation
INV00247,2024-09-20,Hot stone massage - 45 min session,310.33,EUR,359,Spa & Wellness
INV00248,2024-10-15,Coupels spa package: massage + facial,87.0,GBP,234,Spa & Wellness
INV00249,2024-12-02,couples spa package: massage + facial,168.63,EUR,375,Spa & Wellness
INV00250,2024-12-09,Turndown service + extra towels,30.85,EUR,514,Laundry & Housekeeping
INV00251,2024-05-03,Caesar salad + sparkling water,36.7,GBP,365,Food & Beverage - Restaurant
INV00252,2024-06-01,Lunch set menu: soup + mian + dessert,52.12,USD,414,Food & Beverage - Restaurant
INV00253,2025-09-04,"Laundry: 6x shirts, 4x pants",50.96,EUR,168,Laundry & Housekeeping
INV00254,2025-07-23,Extra bed added to Room 329,184.41,EUR,191,Room Charges
INV00255,2024-08-24,AV equipment rental full day,1393.54,EUR,328,Events & Meetings
INV00256,2025-12-09,AV equipment rental full day,1822.99,EUR,308,Events & Meetings
INV00257,2025-06-06,AV equipment rental full day,1449.1,USD,191,Events & Meetings
INV00258,2024-05-04,Laundry service - 2 items express,69.18,USD,498,Laundry & Housekeeping
INV00259,2024-11-03,crib rental - 4 nights,124.41,EUR,388,Room Charges
INV00260,2024-12-22,Projector + screen rental,433.55,USD,506,Events & Meetings
INV00261,2025-01-19,Ironing service - 4 pieces,71.94,EUR,289,Laundry & Housekeeping
INV00262,2024-07-24,RS: 2x club sandw delivered to 305,81.57,EUR,473,Food & Beverage - Room Service
INV00263,2025-08-11,Late checkout fee - Room 403,136.18,USD,432,Room Charges
INV00264,2025-03-04,MANICURE + PEDICURE COMBO,205.12,USD,322,Spa & Wellness
INV00265,2025-02-03,Wedding package deposit,284.68,GBP,224,Events & Meetings
INV00266,2024-02-24,Night RS 185: cheese toastie + tea,22.61,EUR,167,Food & Beverage - Room Service
INV00267,2024-09-11,Room service order #160: burger + fries + coke,41.75,EUR,518,Food & Beverage - Room Service
INV00268,2024-09-28,RS #149: continental breakfast,79.58,USD,459,Food & Beverage - Room Service
INV00269,2024-12-27,RS #312: continental breakfast,82.75,EUR,467,Food & Beverage - Room Service
INV00270,2025-06-17,Meeting room: half day + coffee break,1091.36,EUR,249,Events & Meetings
INV00271,2025-09-12,Body scrub + wrap traetment,286.23,USD,250,Spa & Wellness
INV00272,2025-04-13,room damage charge - broken lamp,31.46,USD,317,Room Charges
INV00273,2025-12-06,Dry cleaning: 7 suits,27.82,USD,124,Laundry & Housekeeping
INV00274,2024-04-20,"MB 391: 2 water, 1 coke, peanuts",57.03,EUR,314,Food & Beverage - Minibar
INV00275,2025-04-29,Spa treatment - Swedish massage 45min,172.62,EUR,494,Spa & Wellness
INV00276,2024-06-19,Room service order #256: burger + fries + coke,77.75,EUR,277,Food & Beverage - Room Service
INV00277,2025-05-08,Airport shuttle round trip,96.95,GBP,433,Transportation
INV00278,2025-11-15,Pasta carbonara + garlic bread,42.54,USD,119,Food & Beverage - Restaurant
INV00279,2024-07-17,Rollaway bed - 4 nights,157.31,EUR,321,Room Charges
INV00280,2025-03-23,Meeting room: half day + coffee break,1887.03,GBP,216,Events & Meetings
INV00281,2024-01-06,Extra bed added to Room 451,41.63,EUR,295,Room Charges
INV00282,2025-05-30,Night RS 495: cheese toastie + tea,38.49,USD,123,Food & Beverage - Room Service
INV00283,2025-06-20,Couples spa package: massage + facial,201.65,EUR,427,Spa & Wellness
INV00284,2024-07-30,2x espresso + 1 croissant,99.99,EUR,128,Food & Beverage - Restaurant
INV00285,2025-09-30,Pizza Margherita + sprite,14.69,USD,321,Food & Beverage - Restaurant
INV00286,2025-08-29,Manicure + pedicure combo,119.86,EUR,498,Spa & Wellness
INV00287,2024-12-02,Late checkout fee - Room 369,153.2,EUR,125,Room Charges
INV00288,2024-08-21,Room dmaage charge - broken lamp,97.66,USD,324,Room Charges
INV00289,2025-06-15,Mini bar: 5 soft drinks + snacks,61.35,USD,444,Food & Beverage - Minibar
INV00290,2024-06-29,Hot stone massage - 60 min session,102.84,EUR,311,Spa & Wellness
INV00291,2025-01-29,"minibar: 6x beer, 1x wine, chips",27.06,USD,236,Food & Beverage - Minibar
INV00292,2024-09-14,airport shuttle round trip,47.61,EUR,503,Transportation
INV00293,2024-08-14,Confeernce room rental - 60h,1584.5,EUR,165,Events & Meetings
INV00294,2024-08-27,Couples spa package: massage + facial,214.35,USD,407,Spa & Wellness
INV00295,2025-09-13,Kids meal: chicken nuggets + juice,15.04,USD,354,Food & Beverage - Restaurant
INV00296,2024-02-10,LAUNDRY SERVICE - 5 ITEMS EXPRESS,76.22,EUR,242,Laundry & Housekeeping
INV00297,2024-03-29,Room safe deposit box,23.18,EUR,299,Room Charges
INV00298,2025-09-24,Wedding package deposit,362.03,EUR,187,Events & Meetings
INV00299,2024-04-30,Room service: pasta + ckoe - Room 504,46.77,USD,184,Food & Beverage - Room Service
