transaction_id,customer_id,transaction_date,nights,room_type,daily_rate,total_revenue,hotel_type,booking_channel,meal_plan,extra_spend
T000089,C00005,2025-10-29,2,Standard,438.43,876.86,City Hotel,OTA,RO,12.96
T000090,C00005,2025-10-30,3,Suite,730.04,2190.11,Resort Hotel,OTA,BB,13.4
T000091,C00005,2025-12-28,1,Superior,333.5,333.5,Resort Hotel,Direct,BB,80.3
T000092,C00006,2024-02-17,2,Deluxe,763.08,1526.17,Resort Hotel,OTA,HB,69.58
T000093,C00006,2024-05-13,7,Superior,446.32,3124.22,City Hotel,Direct,BB,0.0
T000094,C00006,2024-05-23,3,Suite,733.5,2200.49,City Hotel,OTA,BB,6.53
T000095,C00006,2024-06-09,2,Superior,477.51,955.02,City Hotel,Direct,HB,126.5
T000096,C00006,2024-07-09,4,Standard,294.23,1176.94,City Hotel,Travel Agent,HB,88.53
T000097,C00006,2024-07-29,2,Standard,317.29,634.58,City Hotel,Direct,BB,0.0
T000098,C00006,2024-08-03,1,Deluxe,829.26,829.26,City Hotel,Direct,HB,99.24
T000099,C00006,2024-09-12,2,Standard,484.36,968.71,City Hotel,Travel Agent,FB,98.54
T000100,C00006,2024-10-16,10,Deluxe,669.88,6698.81,City Hotel,Direct,FB,67.69
T000101,C00006,2024-10-20,1,Presidential,613.0,613.0,City Hotel,Travel Agent,RO,57.73
T000102,C00006,2025-01-13,2,Superior,281.67,563.34,City Hotel,OTA,BB,24.53
T000103,C00006,2025-05-15,1,Suite,894.09,894.09,Resort Hotel,OTA,BB,0.47
T000104,C00006,2025-05-30,2,Superior,390.11,780.21,City Hotel,Travel Agent,BB,92.21
T000105,C00006,2025-07-07,2,Deluxe,650.02,1300.04,City Hotel,Direct,BB,5.74
T000106,C00006,2025-10-05,10,Suite,1503.57,15035.75,City Hotel,OTA,FB,0.0
T000107,C00007,2024-06-11,7,Presidential,1309.42,9165.91,City Hotel,OTA,HB,65.43
T000108,C00007,2024-07-14,3,Suite,1299.65,3898.95,City Hotel,Direct,FB,3.79
T000109,C00007,2024-07-30,3,Standard,254.74,764.23,City Hotel,OTA,FB,12.65
T000110,C00007,2025-04-14,4,Superior,613.9,2455.59,City Hotel,OTA,HB,15.94
T000111,C00007,2025-04-26,3,Suite,1018.21,3054.63,City Hotel,OTA,BB,67.38
T000112,C00007,2025-10-13,3,Suite,509.08,1527.24,Resort Hotel,Direct,BB,90.38
T000113,C00007,2025-11-07,1,Superior,351.94,351.94,City Hotel,Corporate,RO,0.0
T000114,C00008,2024-09-16,4,Standard,128.07,512.29,City Hotel,OTA,FB,59.15
T000115,C00008,2024-12-05,3,Standard,489.77,1469.3,City Hotel,OTA,HB,42.54
T000116,C00008,2025-01-07,7,Superior,546.06,3822.42,Resort Hotel,Travel Agent,FB,103.15
T000117,C00008,2025-04-01,3,Presidential,1245.07,3735.22,Resort Hotel,Direct,HB,52.8
T000118,C00008,2025-04-19,2,Deluxe,666.27,1332.54,City Hotel,Travel Agent,HB,0.0
T000119,C00008,2025-05-10,10,Standard,398.39,3983.94,City Hotel,OTA,BB,90.59
T000120,C00008,2025-06-07,4,Standard,529.57,2118.27,Resort Hotel,Direct,RO,63.84
T000121,C00008,2025-11-04,3,Standard,191.06,573.17,Resort Hotel,OTA,FB,13.98
T000122,C00009,2024-02-05,3,Standard,544.86,1634.58,City Hotel,Direct,BB,8.8
T000123,C00009,2024-03-16,5,Deluxe,1223.27,6116.33,City Hotel,Travel Agent,HB,56.55
T000124,C00009,2024-03-21,4,Deluxe,1317.69,5270.75,City Hotel,Travel Agent,BB,95.19
T000125,C00009,2024-03-26,5,Superior,769.06,3845.28,City Hotel,OTA,HB,25.36
T000126,C00009,2024-05-07,5,Standard,721.48,3607.38,Resort Hotel,Direct,FB,35.93
T000127,C00009,2024-09-02,2,Standard,798.84,1597.68,Resort Hotel,Direct,BB,107.43
T000128,C00009,2024-09-15,3,Superior,906.17,2718.52,City Hotel,Corporate,HB,13.29
T000129,C00009,2024-11-24,10,Standard,828.95,8289.46,Resort Hotel,Travel Agent,RO,25.78
T000130,C00009,2024-11-27,10,Standard,555.54,5555.37,City Hotel,Direct,BB,86.59
T000131,C00009,2025-01-19,5,Suite,2228.82,11144.1,City Hotel,OTA,BB,0.0
T000132,C00009,2025-03-06,10,Suite,1916.62,19166.21,Resort Hotel,OTA,HB,79.42
T000133,C00009,2025-04-03,4,Superior,900.12,3600.48,City Hotel,Direct,HB,93.8
T000134,C00009,2025-04-28,3,Suite,2156.84,6470.53,Resort Hotel,Travel Agent,RO,47.07
T000135,C00009,2025-05-12,3,Deluxe,522.8,1568.41,City Hotel,OTA,HB,91.61
T000136,C00009,2025-06-15,7,Superior,766.99,5368.95,Resort Hotel,OTA,RO,0.0
T000137,C00009,2025-06-24,2,Standard,737.13,1474.26,City Hotel,OTA,FB,45.71
T000138,C00009,2025-08-28,4,Superior,767.28,3069.1,City Hotel,OTA,BB,73.47
T000139,C00009,2025-10-20,1,Standard,778.45,778.45,Resort Hotel,Corporate,BB,53.45
T000140,C00009,2025-12-09,1,Standard,813.39,813.39,City Hotel,OTA,BB,0.35
T000141,C00009,2025-12-13,5,Superior,796.97,3984.84,City Hotel,Direct,BB,17.56
T000142,C00009,2026-01-05,3,Suite,1502.29,4506.86,City Hotel,Corporate,HB,81.42
T000143,C00010,2024-03-19,10,Standard,349.14,3491.36,Resort Hotel,OTA,HB,43.74
T000144,C00010,2024-04-18,3,Presidential,1264.85,3794.56,City Hotel,Travel Agent,FB,69.51
T000145,C00010,2024-04-30,5,Standard,535.99,2679.97,Resort Hotel,OTA,HB,1.5
T000146,C00010,2024-05-05,10,Standard,524.08,5240.8,City Hotel,OTA,RO,31.74
T000147,C00010,2024-05-11,2,Superior,509.64,1019.29,Resort Hotel,OTA,BB,67.63
T000148,C00010,2024-05-15,3,Standard,452.11,1356.33,City Hotel,Travel Agent,BB,12.15
T000149,C00010,2024-06-08,3,Superior,829.77,2489.3,City Hotel,OTA,HB,62.23
T000150,C00010,2024-08-04,14,Standard,694.15,9718.06,Resort Hotel,Direct,RO,70.23
T000151,C00010,2024-10-17,7,Superior,685.99,4801.95,City Hotel,OTA,BB,46.93
T000152,C00010,2024-11-12,1,Superior,683.29,683.29,City Hotel,Direct,HB,7.8
T000153,C00010,2024-11-14,7,Deluxe,636.25,4453.76,City Hotel,OTA,BB,53.21
T000154,C00010,2025-01-14,1,Superior,731.83,731.83,Resort Hotel,Corporate,HB,71.66
T000155,C00010,2025-01-15,2,Deluxe,659.72,1319.43,Resort Hotel,Corporate,BB,53.79
T000156,C00010,2025-04-04,4,Standard,687.87,2751.47,City Hotel,Direct,FB,19.23
T000157,C00010,2025-07-03,4,Suite,1093.38,4373.5,City Hotel,OTA,BB,64.65
T000158,C00010,2025-08-02,2,Deluxe,1178.97,2357.94,Resort Hotel,Corporate,BB,87.27
T000159,C00010,2025-10-07,5,Suite,2193.96,10969.82,Resort Hotel,Direct,RO,44.95
T000160,C00010,2025-12-06,14,Suite,1647.3,23062.26,City Hotel,OTA,HB,6.11
T000161,C00010,2025-12-28,7,Standard,400.74,2805.17,City Hotel,OTA,BB,33.98
T000162,C00010,2026-01-15,3,Deluxe,1030.74,3092.23,Resort Hotel,Direct,BB,35.14
T000163,C00011,2024-01-15,7,Superior,370.9,2596.31,Resort Hotel,Corporate,BB,50.82
T000164,C00011,2024-07-16,7,Standard,103.73,726.12,Resort Hotel,Direct,FB,53.19
T000165,C00011,2024-08-15,1,Superior,517.59,517.59,Resort Hotel,Direct,FB,20.9
T000166,C00011,2024-09-12,1,Deluxe,751.54,751.54,Resort Hotel,Corporate,FB,0.0
T000167,C00011,2025-04-23,5,Standard,270.18,1350.91,City Hotel,OTA,HB,23.41
T000168,C00011,2025-06-05,3,Standard,267.88,803.63,Resort Hotel,OTA,FB,0.0
T000169,C00011,2025-06-05,2,Standard,363.07,726.13,Resort Hotel,Direct,RO,50.61
T000170,C00011,2025-08-07,2,Suite,543.57,1087.14,City Hotel,OTA,RO,0.0
T000171,C00011,2025-11-25,7,Superior,227.78,1594.48,City Hotel,OTA,FB,66.24
T000172,C00011,2025-12-30,4,Superior,455.43,1821.74,Resort Hotel,Travel Agent,BB,43.91
T000173,C00012,2024-03-04,1,Superior,946.59,946.59,Resort Hotel,OTA,HB,3.7
T000174,C00012,2024-03-15,2,Superior,811.59,1623.17,City Hotel,OTA,BB,99.57
T000175,C00012,2024-03-15,3,Superior,1093.32,3279.95,Resort Hotel,OTA,BB,49.57
T000176,C00012,2024-03-26,2,Suite,2432.29,4864.58,Resort Hotel,OTA,BB,10.44
T000177,C00012,2024-05-19,1,Suite,2486.2,2486.2,City Hotel,Corporate,BB,48.0
T000178,C00012,2024-08-20,14,Deluxe,1124.78,15746.92,City Hotel,Travel Agent,BB,64.15
T000179,C00012,2024-08-30,5,Superior,1038.77,5193.83,City Hotel,Direct,BB,13.06
T000180,C00012,2024-09-23,5,Deluxe,1725.74,8628.71,City Hotel,Travel Agent,FB,33.2
T000181,C00012,2024-10-12,1,Deluxe,1923.05,1923.05,Resort Hotel,Corporate,HB,130.6
T000182,C00012,2024-10-18,10,Standard,865.48,8654.84,Resort Hotel,OTA,HB,119.25
T000183,C00012,2024-10-19,2,Standard,807.01,1614.03,City Hotel,OTA,RO,20.74
T000184,C00012,2025-01-03,3,Suite,2171.68,6515.04,Resort Hotel,OTA,BB,66.64
T000185,C00012,2025-01-20,4,Deluxe,1441.41,5765.66,Resort Hotel,Travel Agent,BB,48.75
T000186,C00012,2025-02-05,5,Superior,1061.99,5309.95,Resort Hotel,Corporate,HB,23.5
T000187,C00012,2025-05-13,4,Standard,721.53,2886.12,City Hotel,Corporate,BB,44.54
T000188,C00012,2025-06-02,14,Superior,1633.81,22873.35,City Hotel,OTA,HB,36.62
T000189,C00012,2025-06-10,3,Deluxe,1382.95,4148.86,City Hotel,Travel Agent,BB,10.24
T000190,C00012,2025-09-02,2,Standard,487.55,975.11,City Hotel,Travel Agent,HB,14.21
T000191,C00012,2025-09-05,1,Superior,1348.59,1348.59,Resort Hotel,Direct,HB,34.63
T000192,C00012,2025-09-25,7,Deluxe,1859.03,13013.19,City Hotel,Direct,HB,40.19
T000193,C00012,2025-12-02,1,Superior,725.5,725.5,City Hotel,Direct,BB,8.39
T000194,C00012,2025-12-10,3,Standard,940.59,2821.78,Resort Hotel,OTA,FB,75.7
T000195,C00012,2025-12-20,3,Deluxe,1942.67,5828.0,City Hotel,Direct,BB,78.73
T000196,C00012,2026-01-15,2,Deluxe,1493.71,2987.42,Resort Hotel,OTA,RO,93.43
T000197,C00013,2024-05-06,5,Deluxe,545.67,2728.36,Resort Hotel,Corporate,HB,10.83
T000198,C00013,2025-01-09,7,Deluxe,102.91,720.35,City Hotel,Corporate,FB,18.6
T000199,C00013,2025-01-14,1,Standard,257.97,257.97,City Hotel,Travel Agent,BB,42.32
T000200,C00013,2025-01-31,3,Deluxe,431.56,1294.68,City Hotel,OTA,BB,38.01
T000201,C00013,2025-03-08,1,Superior,282.82,282.82,Resort Hotel,Corporate,BB,77.63
T000202,C00013,2025-03-26,7,Deluxe,400.78,2805.47,Resort Hotel,OTA,HB,0.0
T000203,C00013,2026-02-01,3,Deluxe,520.86,1562.59,Resort Hotel,Travel Agent,RO,119.35
T000204,C00014,2024-03-10,7,Superior,355.93,2491.51,City Hotel,OTA,RO,52.33
T000205,C00014,2024-03-28,2,Deluxe,657.01,1314.03,City Hotel,Direct,HB,41.84
T000206,C00014,2024-04-17,2,Superior,230.12,460.24,Resort Hotel,OTA,HB,56.74
T000207,C00014,2024-05-23,7,Standard,251.72,1762.05,City Hotel,OTA,RO,38.15
T000208,C00014,2024-07-21,2,Superior,333.24,666.48,Resort Hotel,OTA,RO,49.86
T000209,C00014,2024-08-17,5,Deluxe,314.94,1574.69,Resort Hotel,Corporate,HB,0.0
T000210,C00014,2024-09-23,1,Superior,312.28,312.28,Resort Hotel,OTA,HB,24.93
T000211,C00014,2024-11-07,4,Suite,821.89,3287.58,City Hotel,Travel Agent,BB,109.77
T000212,C00014,2024-11-15,3,Standard,274.5,823.51,Resort Hotel,Travel Agent,BB,0.0
T000213,C00014,2025-03-16,2,Suite,552.82,1105.64,City Hotel,Corporate,RO,114.52
T000214,C00014,2025-06-12,2,Deluxe,686.02,1372.05,Resort Hotel,Direct,HB,23.08
T000215,C00014,2025-12-24,3,Superior,352.76,1058.29,Resort Hotel,Direct,HB,38.32
T000216,C00015,2024-06-30,2,Suite,1787.82,3575.64,Resort Hotel,Travel Agent,HB,0.0
T000217,C00015,2025-01-18,3,Suite,1534.46,4603.37,City Hotel,Corporate,BB,63.22
T000218,C00015,2025-02-03,3,Standard,619.89,1859.68,City Hotel,OTA,HB,95.36
T000219,C00015,2025-03-25,14,Deluxe,1116.01,15624.17,City Hotel,Direct,BB,80.1
T000220,C00015,2025-03-26,2,Standard,841.23,1682.47,Resort Hotel,OTA,BB,38.18
T000221,C00016,2024-05-01,2,Suite,772.59,1545.19,City Hotel,Direct,BB,79.11
T000222,C00016,2024-08-01,1,Standard,480.76,480.76,City Hotel,OTA,HB,140.22
T000223,C00016,2024-08-16,3,Suite,801.33,2403.98,Resort Hotel,Travel Agent,BB,34.37
T000224,C00016,2024-10-26,4,Superior,422.23,1688.93,City Hotel,OTA,BB,45.7
T000225,C00016,2024-12-27,3,Deluxe,460.56,1381.67,Resort Hotel,Travel Agent,RO,54.25
T000226,C00016,2025-01-05,2,Suite,1064.26,2128.52,City Hotel,OTA,FB,60.14
T000227,C00016,2025-03-15,3,Standard,621.87,1865.6,City Hotel,Direct,HB,0.0
T000228,C00016,2025-04-23,3,Superior,449.52,1348.55,Resort Hotel,Corporate,BB,68.59
T000229,C00016,2025-04-26,1,Standard,220.58,220.58,Resort Hotel,OTA,HB,67.09
T000230,C00016,2025-05-03,4,Standard,553.06,2212.23,City Hotel,Travel Agent,BB,47.23
T000231,C00016,2025-05-07,10,Superior,479.07,4790.74,City Hotel,Direct,BB,146.41
T000232,C00016,2025-05-26,5,Suite,1162.82,5814.08,City Hotel,OTA,HB,76.69
T000233,C00016,2026-01-27,4,Superior,141.11,564.46,Resort Hotel,Direct,RO,16.35
T000234,C00017,2024-02-08,2,Superior,454.65,909.31,City Hotel,OTA,RO,34.45
T000235,C00017,2024-03-03,10,Standard,203.58,2035.85,City Hotel,Corporate,FB,129.05
T000236,C00017,2024-03-07,3,Standard,404.46,1213.39,City Hotel,Corporate,HB,54.28
T000237,C00017,2024-05-18,4,Deluxe,586.18,2344.73,City Hotel,OTA,HB,80.03
T000238,C00017,2024-08-21,2,Superior,403.46,806.91,Resort Hotel,Corporate,BB,85.79
T000239,C00017,2024-08-24,2,Deluxe,457.34,914.68,City Hotel,OTA,HB,107.08
T000240,C00017,2025-01-02,3,Deluxe,609.74,1829.22,Resort Hotel,OTA,BB,0.0
T000241,C00017,2025-01-21,14,Deluxe,342.55,4795.71,City Hotel,Corporate,BB,38.24
T000242,C00017,2025-02-12,2,Standard,443.25,886.5,City Hotel,OTA,BB,89.24
T000243,C00017,2025-06-10,4,Deluxe,382.66,1530.64,City Hotel,Direct,BB,25.11
T000244,C00017,2025-06-30,3,Standard,402.87,1208.6,Resort Hotel,OTA,HB,25.97
T000245,C00017,2025-11-15,3,Deluxe,554.53,1663.58,City Hotel,OTA,RO,0.0
T000246,C00017,2026-01-01,10,Standard,308.38,3083.83,City Hotel,Travel Agent,BB,108.79
T000247,C00017,2026-01-20,4,Deluxe,787.91,3151.63,City Hotel,OTA,HB,42.73
T000248,C00018,2024-01-11,5,Superior,809.57,4047.85,City Hotel,Direct,FB,37.74
T000249,C00018,2024-01-15,2,Standard,619.03,1238.07,City Hotel,Direct,HB,36.44
T000250,C00018,2024-03-06,7,Superior,771.98,5403.85,City Hotel,Direct,BB,0.0
T000251,C00018,2024-05-11,2,Superior,1316.25,2632.51,City Hotel,Travel Agent,RO,39.39
T000252,C00018,2024-08-24,7,Suite,1888.03,13216.2,City Hotel,Direct,HB,50.92
T000253,C00018,2024-09-11,5,Deluxe,1187.27,5936.36,City Hotel,OTA,HB,0.0
T000254,C00018,2024-10-25,5,Deluxe,1367.25,6836.25,City Hotel,Travel Agent,BB,73.52
T000255,C00018,2024-11-14,5,Suite,802.59,4012.97,Resort Hotel,Direct,HB,3.53
T000256,C00018,2024-11-14,10,Superior,484.25,4842.47,City Hotel,Direct,HB,35.66
T000257,C00018,2025-01-18,3,Superior,1032.86,3098.57,City Hotel,OTA,BB,0.0
T000258,C00018,2025-03-27,2,Standard,914.6,1829.2,City Hotel,Direct,RO,85.63
T000259,C00018,2025-07-25,7,Superior,1313.14,9191.99,City Hotel,OTA,FB,62.85
T000260,C00018,2025-08-29,4,Superior,641.33,2565.3,Resort Hotel,OTA,BB,72.53
T000261,C00018,2025-09-03,7,Standard,1083.26,7582.85,City Hotel,OTA,BB,10.22
T000262,C00018,2025-09-08,5,Superior,1323.78,6618.92,Resort Hotel,Direct,FB,0.0
T000263,C00019,2024-05-10,3,Deluxe,1317.06,3951.17,City Hotel,OTA,HB,39.62
T000264,C00019,2024-08-12,5,Deluxe,1187.67,5938.33,City Hotel,Direct,BB,25.26
T000265,C00019,2024-09-15,2,Suite,1110.01,2220.02,City Hotel,Direct,HB,102.12
T000266,C00019,2024-12-09,3,Deluxe,1559.61,4678.84,City Hotel,OTA,RO,29.11
T000267,C00019,2025-02-21,3,Standard,1025.38,3076.14,City Hotel,OTA,HB,45.87
T000268,C00019,2025-04-25,7,Superior,1061.03,7427.19,Resort Hotel,Direct,RO,103.21
T000269,C00019,2025-05-27,3,Standard,726.05,2178.14,City Hotel,OTA,FB,22.57
T000270,C00019,2025-06-26,3,Standard,869.84,2609.52,City Hotel,OTA,BB,86.86
T000271,C00019,2025-07-10,2,Suite,2108.68,4217.35,City Hotel,Direct,HB,78.87
T000272,C00019,2025-08-01,2,Presidential,1627.61,3255.22,City Hotel,OTA,HB,67.51
T000273,C00019,2025-08-07,3,Superior,1076.74,3230.23,Resort Hotel,Travel Agent,BB,152.74
T000274,C00019,2025-08-29,2,Superior,1437.81,2875.62,City Hotel,OTA,FB,28.15
T000275,C00019,2025-09-13,3,Standard,675.67,2027.0,City Hotel,Direct,HB,35.41
T000276,C00019,2025-12-08,5,Superior,786.56,3932.79,City Hotel,Corporate,BB,56.3
T000277,C00019,2025-12-12,2,Standard,366.52,733.05,City Hotel,OTA,BB,45.56
T000278,C00019,2026-01-15,3,Deluxe,1532.31,4596.92,Resort Hotel,Corporate,BB,60.93
T000279,C00019,2026-01-23,4,Standard,884.39,3537.57,City Hotel,OTA,BB,70.72
T000280,C00020,2024-04-16,14,Standard,163.13,2283.88,Resort Hotel,Travel Agent,BB,88.42
T000281,C00020,2024-04-28,7,Superior,60.65,424.58,City Hotel,Direct,BB,122.11
T000282,C00020,2024-07-04,2,Superior,287.97,575.94,Resort Hotel,OTA,BB,100.77
T000283,C00020,2024-07-06,10,Superior,238.32,2383.19,City Hotel,Direct,HB,1.23
