review_id,hotel,date,reviewer_country,trip_type,rating,review_text,sentiment_true,aspect_cleanliness,aspect_staff,aspect_food,aspect_location,aspect_value
R0031,Grand Resort Hotel,2024-01-24,BB,Family,5,Exceeded our expectations in every way. The location was outstanding.,positive,5,5,4,4,5
R0032,Grand Resort Hotel,2025-08-09,SK,Leisure,1,Hugely disappointed. the room was not clean when we arrived. Will be filing a complaint.,negative,1,3,2,2,1
R0033,Grand Resort Hotel,2024-10-24,NI,Leisure,3,The staff was great but room service took over an hour. Would still recommend.,mixed,3,5,1,3,3
R0034,Grand Resort Hotel,2025-09-20,KH,Leisure,5,One of the best hotels I've stayed at. Ideal location for both business and leisure. Highly recommend!,positive,5,4,5,5,4
R0035,Grand Resort Hotel,2024-07-06,JO,Leisure,4,"Everything was perfect - Everything was pristine and well-maintained, Best hotel breakfast I've ever had. 10/10.",positive,4,5,4,5,5
R0036,Grand Resort Hotel,2025-10-29,GB,Leisure,2,Hugely disappointed. food quality was poor for a hotel at this price. Will be filing a complaint.,negative,2,1,2,3,3
R0037,Grand Resort Hotel,2024-12-24,AR,Family,1,"Would not recommend. the carpets looked stained and old. For the price we paid, unacceptable.",negative,1,2,3,2,2
R0038,City Center Hotel,2024-09-13,GT,Solo,5,Can't say enough good things about this place. The concierge gave amazing restaurant recommendations and Excellent value for money.,positive,4,5,4,4,5
R0039,Grand Resort Hotel,2024-09-14,ES,Leisure,4,Best hotel experience we've had in years. Staff remembered our names which was a nice touch.,positive,5,5,4,5,5
R0040,Grand Resort Hotel,2024-11-06,LS,Business,3,"Overall a good stay, but the lobby area was dirty. On the positive side, Restaurant food was absolutely delicious.",mixed,1,4,4,4,4
R0041,Grand Resort Hotel,2024-04-14,LV,Business,4,"Mixed feelings about this hotel. The breakfast buffet was outstanding with great variety. Unfortunately, not worth the price at all.",mixed,4,4,4,4,1
R0042,City Center Hotel,2024-11-12,HN,Leisure,4,Can't say enough good things about this place. The breakfast buffet was outstanding with great variety and Best deal we found in the area.,positive,4,5,4,4,5
R0043,City Center Hotel,2025-02-21,GA,Business,5,A truly memorable stay. Beautiful surroundings with ocean view. We'll be back for sure!,positive,4,4,4,5,5
R0044,City Center Hotel,2024-08-17,SR,Family,1,Not worth the money. the breakfast buffet ran out of items early and the minibar prices were outrageous.,negative,1,1,1,1,1
R0045,City Center Hotel,2025-03-27,BF,Business,5,Can't say enough good things about this place. The bathroom was sparkling clean and The breakfast buffet was outstanding with great variety.,positive,5,5,4,4,4
R0046,Grand Resort Hotel,2024-05-25,TL,Family,4,Good but not great. Service was impeccable from check-in to checkout. The downside was not worth the price at all.,mixed,4,4,3,3,2
R0047,City Center Hotel,2024-07-29,HU,Couple,4,Can't say enough good things about this place. Restaurant food was absolutely delicious and Impeccable cleanliness throughout.,positive,4,4,5,4,4
R0048,Grand Resort Hotel,2025-03-06,LA,Family,1,Below expectations. way overpriced for what you get. Staff seemed rude.,negative,2,2,2,3,2
R0049,Grand Resort Hotel,2025-06-25,MC,Family,4,Fantastic experience from start to finish. The staff was incredibly friendly and helpful.,positive,4,4,5,4,4
R0050,Grand Resort Hotel,2024-12-02,WS,Couple,3,"The hotel has potential. The location is unbeatable - right in the center, yet hidden charges everywhere.",mixed,3,4,4,4,2
R0051,City Center Hotel,2024-07-10,GN,Solo,5,Can't say enough good things about this place. Service was impeccable from check-in to checkout and The bathroom was sparkling clean.,positive,4,5,5,4,4
R0052,Grand Resort Hotel,2024-09-25,UZ,Solo,4,"Mixed feelings about this hotel. The concierge gave amazing restaurant recommendations. Unfortunately, the neighborhood felt unsafe at night.",mixed,3,5,3,1,3
R0053,City Center Hotel,2025-09-20,MU,Leisure,1,Not worth the money. way overpriced for what you get and difficult to find parking near the hotel.,negative,2,1,3,2,1
R0054,City Center Hotel,2025-08-02,SK,Solo,3,The staff was great but room service took over an hour. Would still recommend.,mixed,3,4,2,3,3
R0055,City Center Hotel,2024-05-14,LI,Leisure,5,We had an amazing time. Reception team went above and beyond. Will definitely come back!,positive,4,4,4,4,4
R0056,Grand Resort Hotel,2025-09-06,EG,Family,3,"The hotel has potential. Beautiful surroundings with ocean view, yet the lobby area was dirty.",mixed,1,3,4,4,3
R0057,Grand Resort Hotel,2024-06-26,PA,Leisure,5,"Everything was perfect - Worth every penny spent, The staff was incredibly friendly and helpful. 10/10.",positive,5,4,5,4,5
R0058,City Center Hotel,2024-11-19,ZM,Business,4,Can't say enough good things about this place. The chef prepared an incredible dinner and Beautiful surroundings with ocean view.,positive,5,5,5,4,4
R0059,Grand Resort Hotel,2025-10-31,AF,Solo,2,Worst hotel experience in a long time. way overpriced for what you get.,negative,3,3,2,1,2
R0060,City Center Hotel,2024-06-11,BI,Leisure,1,Very disappointing stay. waited 20 minutes for someone to help us and not worth the price at all.,negative,2,2,1,1,1
R0061,City Center Hotel,2024-06-13,RW,Family,3,Good but not great. The staff was incredibly friendly and helpful. The downside was hidden charges everywhere.,mixed,4,4,3,4,2
R0062,Grand Resort Hotel,2024-08-01,BJ,Business,5,Best hotel experience we've had in years. The location is unbeatable - right in the center.,positive,4,4,4,4,4
R0063,City Center Hotel,2025-05-16,FI,Business,3,"Nice hotel with some issues. Ideal location for both business and leisure, however the breakfast buffet ran out of items early.",mixed,3,3,1,4,3
R0064,City Center Hotel,2025-01-12,BF,Leisure,5,Fantastic experience from start to finish. Great location near public transport.,positive,5,5,5,4,5
R0065,City Center Hotel,2024-03-01,ZW,Business,5,Absolutely wonderful stay! The value was exceptional and the staff exceeded all expectations.,positive,5,5,4,5,4
R0066,City Center Hotel,2025-12-27,CV,Solo,1,Worst hotel experience in a long time. food quality was poor for a hotel at this price.,negative,1,2,1,2,2
R0067,City Center Hotel,2025-06-21,GA,Business,5,A truly memorable stay. The bathroom was sparkling clean. We'll be back for sure!,positive,5,5,5,4,5
R0068,City Center Hotel,2025-05-16,CN,Business,2,Save your money and go elsewhere. the minibar prices were outrageous. the room was not clean when we arrived.,negative,2,1,3,2,2
R0069,City Center Hotel,2024-08-08,BW,Business,5,Can't say enough good things about this place. Beautiful surroundings with ocean view and Best deal we found in the area.,positive,5,4,5,5,5
R0070,Grand Resort Hotel,2025-12-25,EC,Leisure,1,Very disappointing stay. no one seemed to care about guest satisfaction and breakfast was mediocre and limited options.,negative,3,1,1,2,3
R0071,City Center Hotel,2024-09-30,UA,Family,2,"Would not recommend. staff was rude at the front desk. For the price we paid, unacceptable.",negative,2,2,2,1,1
R0072,City Center Hotel,2025-07-20,SY,Family,3,"Overall a good stay, but the lobby area was dirty. On the positive side, Service was impeccable from check-in to checkout.",mixed,1,4,3,3,4
R0073,City Center Hotel,2024-10-31,GA,Business,4,"Mixed feelings about this hotel. Reception team went above and beyond. Unfortunately, not worth the price at all.",mixed,3,5,4,3,1
R0074,Grand Resort Hotel,2024-06-27,GW,Couple,4,A truly memorable stay. Great location near public transport. We'll be back for sure!,positive,4,5,4,4,4
R0075,City Center Hotel,2024-10-07,SD,Family,3,"A solid 3-star experience. Perfect location, walking distance to everything but not worth the price at all.",mixed,4,4,4,5,1
R0076,City Center Hotel,2025-07-23,BR,Leisure,5,Exceeded our expectations in every way. The cleanliness was outstanding.,positive,5,5,5,4,4
R0077,City Center Hotel,2025-11-13,NP,Business,5,We had an amazing time. Excellent value for money. Will definitely come back!,positive,5,4,5,4,5
R0078,Grand Resort Hotel,2025-12-26,RS,Family,4,A truly memorable stay. Best deal we found in the area. We'll be back for sure!,positive,4,4,5,4,4
R0079,City Center Hotel,2024-05-28,PT,Business,5,Can't say enough good things about this place. Best hotel breakfast I've ever had and Impeccable cleanliness throughout.,positive,4,4,5,5,5
R0080,Grand Resort Hotel,2025-05-21,KR,Couple,3,A solid 3-star experience. The rooms were spotlessly clean but location was far from the city center.,mixed,4,4,4,1,4
R0081,City Center Hotel,2025-08-24,DM,Business,4,"The hotel has potential. The bathroom was sparkling clean, yet difficult to find parking near the hotel.",mixed,4,3,4,1,4
R0082,City Center Hotel,2025-08-15,WS,Solo,1,Save your money and go elsewhere. much cheaper options with better quality nearby. the restaurant food was overpriced and bland.,negative,3,2,1,1,1
R0083,City Center Hotel,2024-06-11,FJ,Couple,4,We had an amazing time. Staff remembered our names which was a nice touch. Will definitely come back!,positive,5,4,5,5,5
R0084,Grand Resort Hotel,2025-11-08,HN,Leisure,5,Perfect hotel for our vacation. Best hotel breakfast I've ever had and Great location near public transport.,positive,5,5,4,5,4
R0085,City Center Hotel,2025-01-31,NO,Family,5,We had an amazing time. The concierge gave amazing restaurant recommendations. Will definitely come back!,positive,5,4,4,4,4
R0086,Grand Resort Hotel,2025-02-07,EE,Couple,1,Very disappointing stay. the restaurant food was overpriced and bland and the carpets looked stained and old.,negative,2,2,1,1,3
R0087,Grand Resort Hotel,2025-12-20,UZ,Couple,2,Save your money and go elsewhere. the lobby area was dirty. very far from public transportation.,negative,2,1,1,2,1
R0088,City Center Hotel,2024-04-27,HU,Business,3,A solid 3-star experience. The chef prepared an incredible dinner but housekeeping missed our room twice.,mixed,2,4,4,3,3
R0089,City Center Hotel,2024-03-06,KI,Business,5,"Perfect hotel for our vacation. Perfect location, walking distance to everything and The concierge gave amazing restaurant recommendations.",positive,4,4,4,5,5
R0090,Grand Resort Hotel,2025-12-11,JO,Leisure,5,One of the best hotels I've stayed at. Impeccable cleanliness throughout. Highly recommend!,positive,4,4,5,4,5
R0091,Grand Resort Hotel,2024-10-31,TR,Business,5,Absolutely wonderful stay! The cleanliness was exceptional and the staff exceeded all expectations.,positive,4,5,5,4,5
R0092,Grand Resort Hotel,2025-01-30,PE,Business,5,A truly memorable stay. The staff was incredibly friendly and helpful. We'll be back for sure!,positive,5,5,5,4,4
R0093,City Center Hotel,2025-09-19,ZW,Leisure,2,Terrible experience. difficult to find parking near the hotel. hidden charges everywhere. Never again.,negative,1,3,1,2,2
R0094,City Center Hotel,2025-10-11,FR,Business,5,A truly memorable stay. Housekeeping did an amazing job. We'll be back for sure!,positive,4,5,5,4,4
R0095,Grand Resort Hotel,2024-09-01,IR,Couple,5,Perfect hotel for our vacation. Best deal we found in the area and Everything was pristine and well-maintained.,positive,4,5,5,4,5
R0096,Grand Resort Hotel,2024-08-29,RO,Couple,2,"Would not recommend. the neighborhood felt unsafe at night. For the price we paid, unacceptable.",negative,3,3,2,1,2
R0097,Grand Resort Hotel,2025-01-04,BR,Couple,5,Fantastic experience from start to finish. Excellent value for money.,positive,4,5,5,5,5
R0098,Grand Resort Hotel,2024-12-28,ML,Leisure,1,Save your money and go elsewhere. housekeeping missed our room twice. very far from public transportation.,negative,2,2,2,1,1
R0099,City Center Hotel,2025-12-03,MY,Leisure,5,Can't say enough good things about this place. Reception team went above and beyond and Worth every penny spent.,positive,5,5,4,4,5
R0100,City Center Hotel,2024-07-24,MT,Leisure,5,Fantastic experience from start to finish. Excellent value for money.,positive,4,4,5,4,5
R0101,City Center Hotel,2024-06-15,DM,Leisure,2,Terrible experience. room service took over an hour. hidden charges everywhere. Never again.,negative,2,2,2,3,1
R0102,Grand Resort Hotel,2025-05-05,PW,Couple,5,We had an amazing time. Great location near public transport. Will definitely come back!,positive,4,4,4,5,5
R0103,City Center Hotel,2024-09-20,OM,Family,5,Perfect hotel for our vacation. The breakfast buffet was outstanding with great variety and Beautiful surroundings with ocean view.,positive,4,5,4,5,5
R0104,City Center Hotel,2025-09-28,NO,Solo,5,Best hotel experience we've had in years. Service was impeccable from check-in to checkout.,positive,4,4,4,4,5
R0105,Grand Resort Hotel,2025-06-03,SD,Couple,4,Perfect hotel for our vacation. Impeccable cleanliness throughout and Ideal location for both business and leisure.,positive,5,4,5,4,4
R0106,Grand Resort Hotel,2025-07-09,VA,Leisure,5,Fantastic experience from start to finish. Great price for what you get.,positive,4,4,5,4,4
R0107,Grand Resort Hotel,2025-04-08,LK,Leisure,1,Save your money and go elsewhere. the room was not clean when we arrived. the neighborhood felt unsafe at night.,negative,1,3,3,2,3
R0108,Grand Resort Hotel,2025-09-20,NR,Solo,5,"Everything was perfect - Restaurant food was absolutely delicious, Excellent value for money. 10/10.",positive,4,4,4,5,4
R0109,Grand Resort Hotel,2024-04-05,PS,Leisure,3,"Mixed feelings about this hotel. The bathroom was sparkling clean. Unfortunately, difficult to find parking near the hotel.",mixed,4,3,4,2,4
R0110,City Center Hotel,2024-01-23,DE,Business,4,Best hotel experience we've had in years. The concierge gave amazing restaurant recommendations.,positive,4,4,4,4,4
R0111,City Center Hotel,2024-11-03,RO,Business,3,The cleanliness was great but the minibar prices were outrageous. Would still recommend.,mixed,4,3,4,3,2
R0112,City Center Hotel,2024-02-21,AO,Leisure,4,"Overall a good stay, but waited 20 minutes for someone to help us. On the positive side, Everything was pristine and well-maintained.",mixed,4,2,3,3,3
R0113,City Center Hotel,2025-06-20,MU,Leisure,3,"The hotel has potential. The concierge gave amazing restaurant recommendations, yet breakfast was mediocre and limited options.",mixed,3,4,2,4,3
R0114,City Center Hotel,2024-03-12,NP,Business,5,Can't say enough good things about this place. Best deal we found in the area and Best hotel breakfast I've ever had.,positive,5,5,5,4,5
R0115,Grand Resort Hotel,2024-04-09,BS,Family,4,We had an amazing time. The concierge gave amazing restaurant recommendations. Will definitely come back!,positive,4,5,4,4,4
R0116,Grand Resort Hotel,2024-04-26,PS,Leisure,4,Best hotel experience we've had in years. Worth every penny spent.,positive,4,5,5,4,4
R0117,Grand Resort Hotel,2024-07-25,KG,Solo,4,One of the best hotels I've stayed at. The breakfast buffet was outstanding with great variety. Highly recommend!,positive,4,4,4,5,4
R0118,City Center Hotel,2025-12-18,UG,Family,3,Decent stay. Restaurant food was absolutely delicious but very far from public transportation. Room for improvement.,mixed,3,3,5,2,3
R0119,City Center Hotel,2024-08-07,SO,Leisure,5,We had an amazing time. The bathroom was sparkling clean. Will definitely come back!,positive,4,5,5,4,5
R0120,City Center Hotel,2024-05-23,DE,Leisure,3,Decent stay. The rooms were spotlessly clean but the reception seemed overwhelmed and disorganized. Room for improvement.,mixed,5,1,3,4,4
R0121,City Center Hotel,2025-07-18,TG,Solo,4,"The hotel has potential. Excellent value for money, yet staff was unresponsive to our requests.",mixed,4,2,4,4,4
R0122,City Center Hotel,2025-08-11,ZA,Leisure,4,"Mixed feelings about this hotel. The concierge gave amazing restaurant recommendations. Unfortunately, much cheaper options with better quality nearby.",mixed,4,4,4,4,2
R0123,City Center Hotel,2025-03-10,EC,Leisure,5,Exceeded our expectations in every way. The staff was outstanding.,positive,4,4,4,5,5
R0124,City Center Hotel,2024-11-05,IE,Family,4,We had an amazing time. Reception team went above and beyond. Will definitely come back!,positive,5,4,4,4,5
R0125,City Center Hotel,2025-06-06,MU,Leisure,5,Can't say enough good things about this place. Best hotel breakfast I've ever had and Everything was pristine and well-maintained.,positive,5,5,5,4,4
R0126,Grand Resort Hotel,2024-09-24,PL,Family,5,"Everything was perfect - Best deal we found in the area, Staff remembered our names which was a nice touch. 10/10.",positive,5,5,5,4,4
R0127,City Center Hotel,2024-07-21,KP,Family,4,One of the best hotels I've stayed at. Great price for what you get. Highly recommend!,positive,4,5,5,5,4
R0128,City Center Hotel,2025-04-18,PH,Family,5,Absolutely wonderful stay! The location was exceptional and the value exceeded all expectations.,positive,4,4,5,4,5
R0129,City Center Hotel,2024-05-29,JM,Solo,4,"Everything was perfect - Impeccable cleanliness throughout, Room service was fast and the food was excellent. 10/10.",positive,4,5,5,4,4
R0130,City Center Hotel,2025-08-21,MT,Couple,1,Worst hotel experience in a long time. the carpets looked stained and old.,negative,2,1,1,3,2
R0131,Grand Resort Hotel,2025-07-07,TJ,Business,5,Can't say enough good things about this place. Room service was fast and the food was excellent and Ideal location for both business and leisure.,positive,5,4,5,4,4
R0132,Grand Resort Hotel,2025-08-04,UZ,Solo,2,Terrible experience. the neighborhood felt unsafe at night. way overpriced for what you get. Never again.,negative,1,1,3,1,1
R0133,Grand Resort Hotel,2024-06-22,RO,Leisure,4,"Overall a good stay, but the breakfast buffet ran out of items early. On the positive side, Affordable luxury at its best.",mixed,4,4,2,3,4
R0134,City Center Hotel,2024-05-08,BN,Business,1,"Would not recommend. food quality was poor for a hotel at this price. For the price we paid, unacceptable.",negative,3,1,1,3,2
R0135,City Center Hotel,2024-10-20,LT,Family,5,Best hotel experience we've had in years. Best hotel breakfast I've ever had.,positive,5,5,5,4,4
R0136,City Center Hotel,2024-07-26,CR,Family,5,One of the best hotels I've stayed at. Restaurant food was absolutely delicious. Highly recommend!,positive,4,4,4,4,4
R0137,City Center Hotel,2024-04-25,VC,Couple,4,Decent stay. Best hotel breakfast I've ever had but staff was rude at the front desk. Room for improvement.,mixed,4,1,5,4,4
R0138,City Center Hotel,2025-08-05,PW,Business,5,"Everything was perfect - Restaurant food was absolutely delicious, Worth every penny spent. 10/10.",positive,5,5,4,4,5
R0139,City Center Hotel,2025-03-24,FJ,Leisure,4,Can't say enough good things about this place. The location is unbeatable - right in the center and Impeccable cleanliness throughout.,positive,5,4,4,4,4
R0140,City Center Hotel,2024-03-04,DE,Business,3,Decent stay. The concierge gave amazing restaurant recommendations but way overpriced for what you get. Room for improvement.,mixed,3,4,4,3,2
R0141,City Center Hotel,2025-01-28,ET,Leisure,4,Can't say enough good things about this place. Housekeeping did an amazing job and Worth every penny spent.,positive,4,4,5,5,5
R0142,City Center Hotel,2024-03-20,AF,Couple,5,"Everything was perfect - The concierge gave amazing restaurant recommendations, The location is unbeatable - right in the center. 10/10.",positive,5,5,5,5,5
R0143,City Center Hotel,2025-07-06,AL,Couple,2,Below expectations. the neighborhood felt unsafe at night. Staff seemed disinterested.,negative,3,2,2,2,2
R0144,Grand Resort Hotel,2025-11-20,SC,Leisure,5,A truly memorable stay. The concierge gave amazing restaurant recommendations. We'll be back for sure!,positive,4,5,5,4,4
R0145,Grand Resort Hotel,2024-05-24,ZA,Business,2,Very disappointing stay. staff was unresponsive to our requests and the minibar prices were outrageous.,negative,2,2,1,2,2
R0146,City Center Hotel,2024-06-22,RS,Family,2,Worst hotel experience in a long time. not worth the price at all.,negative,3,2,1,3,1
R0147,City Center Hotel,2024-05-21,MR,Business,4,A truly memorable stay. Restaurant food was absolutely delicious. We'll be back for sure!,positive,4,5,4,4,4
R0148,City Center Hotel,2024-02-19,RW,Leisure,1,Very disappointing stay. waited 20 minutes for someone to help us and room service took over an hour.,negative,2,1,1,2,1
R0149,City Center Hotel,2025-11-10,NA,Leisure,2,Hugely disappointed. no one seemed to care about guest satisfaction. Will be filing a complaint.,negative,1,1,1,1,1
R0150,City Center Hotel,2025-02-16,NI,Leisure,2,Worst hotel experience in a long time. difficult to find parking near the hotel.,negative,1,2,2,1,1
R0151,City Center Hotel,2024-12-22,MY,Leisure,1,Save your money and go elsewhere. waited 20 minutes for someone to help us. the room was not clean when we arrived.,negative,1,2,3,3,3
R0152,City Center Hotel,2025-02-17,CH,Couple,2,"Would not recommend. staff was unresponsive to our requests. For the price we paid, unacceptable.",negative,1,2,1,1,2
R0153,Grand Resort Hotel,2025-12-20,MR,Leisure,3,The cleanliness was great but staff was rude at the front desk. Would still recommend.,mixed,5,2,3,4,3
R0154,City Center Hotel,2025-05-14,MV,Solo,5,Fantastic experience from start to finish. Great price for what you get.,positive,4,4,4,4,4
R0155,City Center Hotel,2024-08-09,RW,Leisure,3,A solid 3-star experience. The chef prepared an incredible dinner but housekeeping missed our room twice.,mixed,2,3,5,3,4
R0156,Grand Resort Hotel,2024-10-16,KP,Business,1,Hugely disappointed. the minibar prices were outrageous. Will be filing a complaint.,negative,2,3,1,1,2
R0157,Grand Resort Hotel,2025-04-11,BA,Couple,5,"Everything was perfect - Housekeeping did an amazing job, Ideal location for both business and leisure. 10/10.",positive,4,4,4,5,4
R0158,City Center Hotel,2025-07-26,TZ,Leisure,2,Hugely disappointed. the restaurant food was overpriced and bland. Will be filing a complaint.,negative,1,3,2,2,3
R0159,Grand Resort Hotel,2025-09-21,BN,Solo,4,Can't say enough good things about this place. Everything was pristine and well-maintained and Great location near public transport.,positive,5,4,4,4,4
R0160,Grand Resort Hotel,2025-03-12,NE,Couple,5,Exceeded our expectations in every way. The location was outstanding.,positive,4,4,4,4,5
R0161,City Center Hotel,2024-11-29,AZ,Business,3,"Overall a good stay, but the reception seemed overwhelmed and disorganized. On the positive side, Ideal location for both business and leisure.",mixed,4,2,4,4,3
R0162,City Center Hotel,2025-05-24,CM,Leisure,1,Very disappointing stay. the reception seemed overwhelmed and disorganized and way overpriced for what you get.,negative,1,1,1,1,1
R0163,City Center Hotel,2024-07-10,MV,Leisure,5,"Everything was perfect - Beautiful surroundings with ocean view, Staff remembered our names which was a nice touch. 10/10.",positive,5,4,4,5,5
R0164,City Center Hotel,2024-04-05,TM,Couple,3,A solid 3-star experience. The staff was incredibly friendly and helpful but the breakfast buffet ran out of items early.,mixed,3,5,1,4,3
R0165,Grand Resort Hotel,2024-04-03,DK,Leisure,2,Terrible experience. the breakfast buffet ran out of items early. staff was rude at the front desk. Never again.,negative,2,1,2,2,1
R0166,City Center Hotel,2025-11-01,FI,Business,5,"Everything was perfect - The concierge gave amazing restaurant recommendations, Best deal we found in the area. 10/10.",positive,5,5,5,4,5
R0167,City Center Hotel,2025-11-11,NZ,Leisure,2,Below expectations. noisy area with construction nearby. Staff seemed rude.,negative,1,1,2,1,1
R0168,City Center Hotel,2025-06-28,IE,Family,3,Decent stay. Reception team went above and beyond but breakfast was mediocre and limited options. Room for improvement.,mixed,4,4,1,4,4
R0169,City Center Hotel,2024-12-12,GB,Couple,5,Best hotel experience we've had in years. The chef prepared an incredible dinner.,positive,4,5,4,4,4
R0170,City Center Hotel,2024-11-24,WS,Family,5,Exceeded our expectations in every way. The staff was outstanding.,positive,5,5,5,5,5
R0171,Grand Resort Hotel,2024-03-26,MG,Business,4,"Nice hotel with some issues. Staff remembered our names which was a nice touch, however difficult to find parking near the hotel.",mixed,3,5,3,1,4
R0172,Grand Resort Hotel,2024-06-11,SE,Leisure,4,"Nice hotel with some issues. Room service was fast and the food was excellent, however no one seemed to care about guest satisfaction.",mixed,3,2,4,4,3
R0173,City Center Hotel,2024-11-22,KN,Couple,5,We had an amazing time. Best hotel breakfast I've ever had. Will definitely come back!,positive,5,5,5,4,4
R0174,Grand Resort Hotel,2024-08-08,RW,Business,4,One of the best hotels I've stayed at. Affordable luxury at its best. Highly recommend!,positive,4,4,5,4,4
R0175,Grand Resort Hotel,2025-07-04,ZW,Couple,2,Hugely disappointed. room service took over an hour. Will be filing a complaint.,negative,2,3,1,1,2
R0176,Grand Resort Hotel,2025-05-17,FM,Family,5,Absolutely wonderful stay! The staff was exceptional and the food exceeded all expectations.,positive,4,5,4,5,4
R0177,City Center Hotel,2024-07-06,MN,Solo,4,Decent stay. The location is unbeatable - right in the center but found hair in the bathroom. Room for improvement.,mixed,2,4,3,5,3
R0178,City Center Hotel,2024-12-16,MC,Family,4,"The hotel has potential. Service was impeccable from check-in to checkout, yet hidden charges everywhere.",mixed,4,4,3,4,1
R0179,Grand Resort Hotel,2025-02-21,BG,Solo,5,"Everything was perfect - Worth every penny spent, The staff was incredibly friendly and helpful. 10/10.",positive,5,4,5,5,5
